n_estimators,max_depth,accuracy,precision,recall,f1_score,roc_auc_score
100,10,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
100,50,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385
100,100,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385
100,200,0.8760330578512396,0.847457627118644,0.8928571428571429,0.8695652173913044,0.8771978021978022
250,10,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385
250,50,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385
250,100,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
250,200,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
500,10,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385
500,50,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385
500,100,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
500,200,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
