solver,alpha,layers,state,accuracy,precision,recall,f1_score,roc_auc_score
lbfgs,0.1,10,0,0.8925619834710744,0.9215686274509803,0.8392857142857143,0.8785046728971961,0.8888736263736264
lbfgs,0.1,20,0,0.8760330578512396,0.9183673469387755,0.8035714285714286,0.8571428571428571,0.8710164835164835
lbfgs,0.1,30,0,0.859504132231405,0.8679245283018868,0.8214285714285714,0.8440366972477065,0.8568681318681317
lbfgs,0.1,40,0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902
lbfgs,0.1,50,0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.1,60,0,0.8760330578512396,0.9019607843137255,0.8214285714285714,0.8598130841121495,0.8722527472527473
lbfgs,0.1,70,0,0.8677685950413223,0.9,0.8035714285714286,0.8490566037735849,0.8633241758241759
lbfgs,0.1,80,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824
lbfgs,0.1,90,0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.1,100,0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902
lbfgs,0.1,150,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.873489010989011
lbfgs,0.1,200,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395
lbfgs,0.1,250,0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395
lbfgs,0.1,300,0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.1,350,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.873489010989011
lbfgs,0.1,400,0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.1,450,0,0.8760330578512396,0.9019607843137255,0.8214285714285714,0.8598130841121495,0.8722527472527473
lbfgs,0.1,500,0,0.8760330578512396,0.9019607843137255,0.8214285714285714,0.8598130841121495,0.8722527472527473
lbfgs,0.1,"(50, 5)",0,0.8677685950413223,0.8703703703703703,0.8392857142857143,0.8545454545454546,0.8657967032967033
lbfgs,0.1,"(50, 10)",0,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538
lbfgs,0.1,"(50, 20)",0,0.8925619834710744,0.9215686274509803,0.8392857142857143,0.8785046728971961,0.8888736263736264
lbfgs,0.1,"(50, 50)",0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.1,"(100, 5)",0,0.8677685950413223,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8670329670329671
lbfgs,0.1,"(100, 10)",0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395
lbfgs,0.1,"(100, 20)",0,0.8760330578512396,0.9019607843137255,0.8214285714285714,0.8598130841121495,0.8722527472527473
lbfgs,0.1,"(100, 50)",0,0.9008264462809917,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8978021978021978
lbfgs,0.1,"(250, 5)",0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824
lbfgs,0.1,"(250, 10)",0,0.9173553719008265,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.9168956043956044
lbfgs,0.1,"(250, 20)",0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824
lbfgs,0.1,"(250, 50)",0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.873489010989011
lbfgs,0.1,"(500, 5)",0,0.8842975206611571,0.92,0.8214285714285714,0.8679245283018867,0.8799450549450549
lbfgs,0.1,"(500, 10)",0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.1,"(500, 20)",0,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395
lbfgs,0.1,"(500, 50)",0,0.8925619834710744,0.9215686274509803,0.8392857142857143,0.8785046728971961,0.8888736263736264
lbfgs,0.25,10,0,0.8677685950413223,0.9,0.8035714285714286,0.8490566037735849,0.8633241758241759
lbfgs,0.25,20,0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.25,30,0,0.859504132231405,0.8823529411764706,0.8035714285714286,0.8411214953271029,0.8556318681318681
lbfgs,0.25,40,0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902
lbfgs,0.25,50,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.873489010989011
lbfgs,0.25,60,0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.25,70,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.873489010989011
lbfgs,0.25,80,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824
lbfgs,0.25,90,0,0.8925619834710744,0.9215686274509803,0.8392857142857143,0.8785046728971961,0.8888736263736264
lbfgs,0.25,100,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824
lbfgs,0.25,150,0,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902
lbfgs,0.25,200,0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.25,250,0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.25,300,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.873489010989011
lbfgs,0.25,350,0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.25,400,0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.873489010989011
lbfgs,0.25,450,0,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824
lbfgs,0.25,500,0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.25,"(50, 5)",0,0.9090909090909091,0.9245283018867925,0.875,0.8990825688073395,0.9067307692307692
lbfgs,0.25,"(50, 10)",0,0.9008264462809917,0.94,0.8392857142857143,0.8867924528301886,0.8965659340659341
lbfgs,0.25,"(50, 20)",0,0.8760330578512396,0.9019607843137255,0.8214285714285714,0.8598130841121495,0.8722527472527473
lbfgs,0.25,"(50, 50)",0,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.873489010989011
lbfgs,0.25,"(100, 5)",0,0.8677685950413223,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8670329670329671
lbfgs,0.25,"(100, 10)",0,0.8925619834710744,0.8771929824561403,0.8928571428571429,0.8849557522123894,0.8925824175824175
lbfgs,0.25,"(100, 20)",0,0.8842975206611571,0.9038461538461539,0.8392857142857143,0.8703703703703703,0.8811813186813188
lbfgs,0.25,"(100, 50)",0,0.8677685950413223,0.8703703703703703,0.8392857142857143,0.8545454545454546,0.8657967032967033
